Labeled[{1446.6389760108502, 11797/30603}, Text["k=0."]]
Labeled[{1396.464897260274, 11680/30603}, Text["k=0.1"]]
Labeled[{1347.125443070805, 11567/30603}, Text["k=0.2"]]
Labeled[{1298.5967361898943, 11459/30603}, Text["k=0.3"]]
Labeled[{1250.7094386181368, 11347/30603}, Text["k=0.4"]]
Labeled[{1200.4369927762418, 11213/30603}, Text["k=0.5"]]
Labeled[{1119.6653632808946, 10997/30603}, Text["k=0.6"]]
Labeled[{1006.8446282545352, 10639/30603}, Text["k=0.7"]]
Labeled[{890.7116251715349, 10202/30603}, Text["k=0.8"]]
Labeled[{753.2768069486091, 9671/30603}, Text["k=0.9"]]
Labeled[{606.8146845460541, 9098/30603}, Text["k=1."]]
