Labeled[{1., 0.}, Text["k=0."]]
Labeled[{0.9402564569035456, 0.03340511840700938}, Text["k=0.1"]]
Labeled[{0.8815067223567958, 0.06661833985732207}, Text["k=0.2"]]
Labeled[{0.8237223651119387, 0.09833552472092585}, Text["k=0.3"]]
Labeled[{0.7667017501351633, 0.12973202382380547}, Text["k=0.4"]]
Labeled[{0.7068410788580665, 0.17043834186354495}, Text["k=0.5"]]
Labeled[{0.6106642591158467, 0.24957890506301333}, Text["k=0.6"]]
Labeled[{0.4763257597738224, 0.3848427804282258}, Text["k=0.7"]]
Labeled[{0.3380432591802226, 0.5591839182714964}, Text["k=0.8"]]
Labeled[{0.1743961491600824, 0.772345185698303}, Text["k=0.9"]]
Labeled[{0., 1.}, Text["k=1."]]
