Labeled[{1., 0.}, Text["k=0."]]
Labeled[{0.9471141556319103, 0.024402650548371797}, Text["k=0.1"]]
Labeled[{0.9016251553951542, 0.0456500618312855}, Text["k=0.2"]]
Labeled[{0.8491672940847114, 0.06908264420236356}, Text["k=0.3"]]
Labeled[{0.8011681505565021, 0.09620684048219871}, Text["k=0.4"]]
Labeled[{0.7140707144588897, 0.15497985457217475}, Text["k=0.5"]]
Labeled[{0.6105688851419625, 0.25042584901594184}, Text["k=0.6"]]
Labeled[{0.4743476409838465, 0.3932485418400582}, Text["k=0.7"]]
Labeled[{0.3288793203037932, 0.5745488999055135}, Text["k=0.8"]]
Labeled[{0.16794960274162035, 0.7817233628490866}, Text["k=0.9"]]
Labeled[{0., 1.}, Text["k=1."]]
