{0.22, 0.28}
{0.225, 0.22}
{0.225, 0.23}
{0.225, 0.24}
{0.225, 0.25}
{0.225, 0.26}
{0.225, 0.27}
{0.23, 0.17}
{0.23, 0.18}
{0.23, 0.19}
{0.23, 0.2}
{0.23, 0.21}
{0.23, 0.22}
{0.23, 0.23}
{0.23, 0.24}
{0.23, 0.25}
{0.23500000000000001, 0.11}
{0.23500000000000001, 0.12}
{0.23500000000000001, 0.13}
{0.23500000000000001, 0.14}
{0.23500000000000001, 0.15}
{0.23500000000000001, 0.16}
{0.23500000000000001, 0.17}
{0.23500000000000001, 0.18}
{0.23500000000000001, 0.19}
{0.23500000000000001, 0.2}
{0.23500000000000001, 0.21}
{0.23500000000000001, 0.22}
{0.23500000000000001, 0.23}
{0.23500000000000001, 0.24}
{0.24, 0.06}
{0.24, 0.07}
{0.24, 0.08}
{0.24, 0.09}
{0.24, 0.1}
{0.24, 0.11}
{0.24, 0.12}
{0.24, 0.13}
{0.24, 0.14}
{0.24, 0.15}
{0.24, 0.16}
{0.24, 0.17}
{0.24, 0.18}
{0.24, 0.19}
{0.24, 0.2}
{0.24, 0.21}
{0.24, 0.22}
{0.245, 0.}
{0.245, 0.01}
{0.245, 0.02}
{0.245, 0.03}
{0.245, 0.04}
{0.245, 0.05}
{0.245, 0.06}
{0.245, 0.07}
{0.245, 0.08}
{0.245, 0.09}
{0.245, 0.1}
{0.245, 0.11}
{0.245, 0.12}
{0.245, 0.13}
{0.245, 0.14}
{0.245, 0.15}
{0.245, 0.16}
{0.245, 0.17}
{0.245, 0.18}
{0.245, 0.19}
{0.245, 0.2}
{0.245, 0.21}
{0.25, 0.}
{0.25, 0.01}
{0.25, 0.02}
{0.25, 0.03}
{0.25, 0.04}
{0.25, 0.05}
{0.25, 0.06}
{0.25, 0.07}
{0.25, 0.08}
{0.25, 0.09}
{0.25, 0.1}
{0.25, 0.11}
{0.25, 0.12}
{0.25, 0.13}
{0.25, 0.14}
{0.25, 0.15}
{0.25, 0.16}
{0.25, 0.17}
{0.25, 0.18}
{0.25, 0.19}
{0.255, 0.}
{0.255, 0.01}
{0.255, 0.02}
{0.255, 0.03}
{0.255, 0.04}
{0.255, 0.05}
{0.255, 0.06}
{0.255, 0.07}
{0.255, 0.08}
{0.255, 0.09}
{0.255, 0.1}
{0.255, 0.11}
{0.255, 0.12}
{0.255, 0.13}
{0.255, 0.14}
{0.255, 0.15}
{0.255, 0.16}
{0.255, 0.17}
{0.255, 0.18}
{0.26, 0.}
{0.26, 0.01}
{0.26, 0.02}
{0.26, 0.03}
{0.26, 0.04}
{0.26, 0.05}
{0.26, 0.06}
{0.26, 0.07}
{0.26, 0.08}
{0.26, 0.09}
{0.26, 0.1}
{0.26, 0.11}
{0.26, 0.12}
{0.26, 0.13}
{0.26, 0.14}
{0.26, 0.15}
{0.26, 0.16}
{0.265, 0.}
{0.265, 0.01}
{0.265, 0.02}
{0.265, 0.03}
{0.265, 0.04}
{0.265, 0.05}
{0.265, 0.06}
{0.265, 0.07}
{0.265, 0.08}
{0.265, 0.09}
{0.265, 0.1}
{0.265, 0.11}
{0.265, 0.12}
{0.265, 0.13}
{0.265, 0.14}
{0.27, 0.}
{0.27, 0.01}
{0.27, 0.02}
{0.27, 0.03}
{0.27, 0.04}
{0.27, 0.05}
{0.27, 0.06}
{0.27, 0.07}
{0.27, 0.08}
{0.27, 0.09}
{0.27, 0.1}
{0.27, 0.11}
{0.27, 0.12}
{0.27, 0.13}
{0.275, 0.}
{0.275, 0.01}
{0.275, 0.02}
{0.275, 0.03}
{0.275, 0.04}
{0.275, 0.05}
{0.275, 0.06}
{0.275, 0.07}
{0.275, 0.08}
{0.275, 0.09}
{0.275, 0.1}
{0.275, 0.11}
{0.28, 0.}
{0.28, 0.01}
{0.28, 0.02}
{0.28, 0.03}
{0.28, 0.04}
{0.28, 0.05}
{0.28, 0.06}
{0.28, 0.07}
{0.28, 0.08}
{0.28, 0.09}
{0.28, 0.1}
{0.28500000000000003, 0.}
{0.28500000000000003, 0.01}
{0.28500000000000003, 0.02}
{0.28500000000000003, 0.03}
{0.28500000000000003, 0.04}
{0.28500000000000003, 0.05}
{0.28500000000000003, 0.06}
{0.28500000000000003, 0.07}
{0.28500000000000003, 0.08}
{0.29, 0.}
{0.29, 0.01}
{0.29, 0.02}
{0.29, 0.03}
{0.29, 0.04}
{0.29, 0.05}
{0.29, 0.06}
{0.29, 0.07}
{0.295, 0.}
{0.295, 0.01}
{0.295, 0.02}
{0.295, 0.03}
{0.295, 0.04}
{0.295, 0.05}
{0.3, 0.}
{0.3, 0.01}
{0.3, 0.02}
{0.3, 0.03}
{0.3, 0.04}
{0.305, 0.}
{0.305, 0.01}
{0.305, 0.02}
{0.31, 0.}
