{0.28, 0.2}
{0.28500000000000003, 0.14}
{0.28500000000000003, 0.15}
{0.28500000000000003, 0.16}
{0.28500000000000003, 0.17}
{0.28500000000000003, 0.18}
{0.28500000000000003, 0.19}
{0.29, 0.08}
{0.29, 0.09}
{0.29, 0.1}
{0.29, 0.11}
{0.29, 0.12}
{0.29, 0.13}
{0.29, 0.14}
{0.29, 0.15}
{0.29, 0.16}
{0.29, 0.17}
{0.295, 0.02}
{0.295, 0.03}
{0.295, 0.04}
{0.295, 0.05}
{0.295, 0.06}
{0.295, 0.07}
{0.295, 0.08}
{0.295, 0.09}
{0.295, 0.1}
{0.295, 0.11}
{0.295, 0.12}
{0.295, 0.13}
{0.295, 0.14}
{0.295, 0.15}
{0.295, 0.16}
{0.3, 0.}
{0.3, 0.01}
{0.3, 0.02}
{0.3, 0.03}
{0.3, 0.04}
{0.3, 0.05}
{0.3, 0.06}
{0.3, 0.07}
{0.3, 0.08}
{0.3, 0.09}
{0.3, 0.1}
{0.3, 0.11}
{0.3, 0.12}
{0.3, 0.13}
{0.3, 0.14}
{0.305, 0.}
{0.305, 0.01}
{0.305, 0.02}
{0.305, 0.03}
{0.305, 0.04}
{0.305, 0.05}
{0.305, 0.06}
{0.305, 0.07}
{0.305, 0.08}
{0.305, 0.09}
{0.305, 0.1}
{0.305, 0.11}
{0.305, 0.12}
{0.305, 0.13}
{0.31, 0.}
{0.31, 0.01}
{0.31, 0.02}
{0.31, 0.03}
{0.31, 0.04}
{0.31, 0.05}
{0.31, 0.06}
{0.31, 0.07}
{0.31, 0.08}
{0.31, 0.09}
{0.31, 0.1}
{0.31, 0.11}
{0.315, 0.}
{0.315, 0.01}
{0.315, 0.02}
{0.315, 0.03}
{0.315, 0.04}
{0.315, 0.05}
{0.315, 0.06}
{0.315, 0.07}
{0.315, 0.08}
{0.315, 0.09}
{0.32, 0.}
{0.32, 0.01}
{0.32, 0.02}
{0.32, 0.03}
{0.32, 0.04}
{0.32, 0.05}
{0.32, 0.06}
{0.32, 0.07}
{0.32, 0.08}
{0.325, 0.}
{0.325, 0.01}
{0.325, 0.02}
{0.325, 0.03}
{0.325, 0.04}
{0.325, 0.05}
{0.325, 0.06}
{0.33, 0.}
{0.33, 0.01}
{0.33, 0.02}
{0.33, 0.03}
{0.33, 0.04}
{0.335, 0.}
{0.335, 0.01}
{0.335, 0.02}
{0.335, 0.03}
{0.34, 0.}
{0.34, 0.01}
{0.34500000000000003, 0.}
