{0.42, 0.16}
{0.425, 0.15000000000000002}
{0.43, 0.13}
{0.43, 0.14}
{0.435, 0.11}
{0.435, 0.12}
{0.435, 0.13}
{0.44, 0.09999999999999999}
{0.44, 0.11}
{0.44, 0.12}
{0.445, 0.08}
{0.445, 0.09}
{0.445, 0.09999999999999999}
{0.445, 0.11}
{0.45, 0.060000000000000005}
{0.45, 0.06999999999999999}
{0.45, 0.08}
{0.45, 0.09}
{0.45, 0.09999999999999999}
{0.455, 0.05}
{0.455, 0.060000000000000005}
{0.455, 0.06999999999999999}
{0.455, 0.08}
{0.455, 0.09}
{0.46, 0.03}
{0.46, 0.04}
{0.46, 0.05}
{0.46, 0.060000000000000005}
{0.46, 0.06999999999999999}
{0.46, 0.08}
{0.465, 0.01}
{0.465, 0.02}
{0.465, 0.03}
{0.465, 0.04}
{0.465, 0.05}
{0.465, 0.060000000000000005}
{0.465, 0.06999999999999999}
{0.47000000000000003, 0.01}
{0.47000000000000003, 0.02}
{0.47000000000000003, 0.03}
{0.47000000000000003, 0.04}
{0.47000000000000003, 0.05}
{0.47000000000000003, 0.060000000000000005}
{0.47500000000000003, 0.01}
{0.47500000000000003, 0.02}
{0.47500000000000003, 0.03}
{0.47500000000000003, 0.04}
{0.47500000000000003, 0.05}
{0.48, 0.01}
{0.48, 0.02}
{0.48, 0.03}
{0.48, 0.04}
{0.485, 0.01}
{0.485, 0.02}
{0.485, 0.03}
{0.49, 0.01}
{0.49, 0.02}
{0.495, 0.01}
