{0.465, 0.17}
{0.47000000000000003, 0.15000000000000002}
{0.47000000000000003, 0.16}
{0.47500000000000003, 0.14}
{0.47500000000000003, 0.15000000000000002}
{0.48, 0.12}
{0.48, 0.13}
{0.48, 0.14}
{0.485, 0.09999999999999999}
{0.485, 0.11}
{0.485, 0.12}
{0.485, 0.13}
{0.49, 0.09}
{0.49, 0.09999999999999999}
{0.49, 0.11}
{0.49, 0.12}
{0.495, 0.06999999999999999}
{0.495, 0.08}
{0.495, 0.09}
{0.495, 0.09999999999999999}
{0.495, 0.11}
{0.5, 0.05}
{0.5, 0.060000000000000005}
{0.5, 0.06999999999999999}
{0.5, 0.08}
{0.5, 0.09}
{0.5, 0.09999999999999999}
