{0.075, 0.8400000000000001}
{0.08, 0.8300000000000001}
{0.085, 0.81}
{0.085, 0.8200000000000001}
{0.09, 0.79}
{0.09, 0.8}
{0.09, 0.81}
{0.095, 0.78}
{0.095, 0.79}
{0.095, 0.8}
{0.1, 0.76}
{0.1, 0.77}
{0.1, 0.78}
{0.1, 0.79}
{0.105, 0.74}
{0.105, 0.75}
{0.105, 0.76}
{0.105, 0.77}
{0.105, 0.78}
{0.11, 0.73}
{0.11, 0.74}
{0.11, 0.75}
{0.11, 0.76}
{0.11, 0.77}
{0.115, 0.7100000000000001}
{0.115, 0.72}
{0.115, 0.73}
{0.115, 0.74}
{0.115, 0.75}
{0.115, 0.76}
{0.12, 0.6900000000000001}
{0.12, 0.7000000000000001}
{0.12, 0.7100000000000001}
{0.12, 0.72}
{0.12, 0.73}
{0.12, 0.74}
{0.12, 0.75}
{0.125, 0.68}
{0.125, 0.6900000000000001}
{0.125, 0.7000000000000001}
{0.125, 0.7100000000000001}
{0.125, 0.72}
{0.125, 0.73}
{0.125, 0.74}
{0.125, 0.75}
{0.13, 0.66}
{0.13, 0.67}
{0.13, 0.68}
{0.13, 0.6900000000000001}
{0.13, 0.7000000000000001}
{0.13, 0.7100000000000001}
{0.13, 0.72}
{0.13, 0.73}
{0.13, 0.74}
{0.135, 0.64}
{0.135, 0.65}
{0.135, 0.66}
{0.135, 0.67}
{0.135, 0.68}
{0.135, 0.6900000000000001}
{0.135, 0.7000000000000001}
{0.135, 0.7100000000000001}
{0.135, 0.72}
{0.135, 0.73}
{0.14, 0.63}
{0.14, 0.64}
{0.14, 0.65}
{0.14, 0.66}
{0.14, 0.67}
{0.14, 0.68}
{0.14, 0.6900000000000001}
{0.14, 0.7000000000000001}
{0.14, 0.7100000000000001}
{0.14, 0.72}
{0.145, 0.61}
{0.145, 0.62}
{0.145, 0.63}
{0.145, 0.64}
{0.145, 0.65}
{0.145, 0.66}
{0.145, 0.67}
{0.145, 0.68}
{0.145, 0.6900000000000001}
{0.145, 0.7000000000000001}
{0.145, 0.7100000000000001}
{0.15, 0.59}
{0.15, 0.6}
{0.15, 0.61}
{0.15, 0.62}
{0.15, 0.63}
{0.15, 0.64}
{0.15, 0.65}
{0.15, 0.66}
{0.15, 0.67}
{0.15, 0.68}
{0.15, 0.6900000000000001}
{0.15, 0.7000000000000001}
{0.155, 0.5800000000000001}
{0.155, 0.59}
{0.155, 0.6}
{0.155, 0.61}
{0.155, 0.62}
{0.155, 0.63}
{0.155, 0.64}
{0.155, 0.65}
{0.155, 0.66}
{0.155, 0.67}
{0.155, 0.68}
{0.155, 0.6900000000000001}
{0.16, 0.56}
{0.16, 0.5700000000000001}
{0.16, 0.5800000000000001}
{0.16, 0.59}
{0.16, 0.6}
{0.16, 0.61}
{0.16, 0.62}
{0.16, 0.63}
{0.16, 0.64}
{0.16, 0.65}
{0.16, 0.66}
{0.16, 0.67}
{0.16, 0.68}
{0.165, 0.54}
{0.165, 0.55}
{0.165, 0.56}
{0.165, 0.5700000000000001}
{0.165, 0.5800000000000001}
{0.165, 0.59}
{0.165, 0.6}
{0.165, 0.61}
{0.165, 0.62}
{0.165, 0.63}
{0.165, 0.64}
{0.165, 0.65}
{0.165, 0.66}
{0.165, 0.67}
{0.165, 0.68}
{0.17, 0.53}
{0.17, 0.54}
{0.17, 0.55}
{0.17, 0.56}
{0.17, 0.5700000000000001}
{0.17, 0.5800000000000001}
{0.17, 0.59}
{0.17, 0.6}
{0.17, 0.61}
{0.17, 0.62}
{0.17, 0.63}
{0.17, 0.64}
{0.17, 0.65}
{0.17, 0.66}
{0.17, 0.67}
{0.17500000000000002, 0.51}
{0.17500000000000002, 0.52}
{0.17500000000000002, 0.53}
{0.17500000000000002, 0.54}
{0.17500000000000002, 0.55}
{0.17500000000000002, 0.56}
{0.17500000000000002, 0.5700000000000001}
{0.17500000000000002, 0.5800000000000001}
{0.17500000000000002, 0.59}
{0.17500000000000002, 0.6}
{0.17500000000000002, 0.61}
{0.17500000000000002, 0.62}
{0.17500000000000002, 0.63}
{0.17500000000000002, 0.64}
{0.17500000000000002, 0.65}
{0.17500000000000002, 0.66}
{0.18, 0.49}
{0.18, 0.5}
{0.18, 0.51}
{0.18, 0.52}
{0.18, 0.53}
{0.18, 0.54}
{0.18, 0.55}
{0.18, 0.56}
{0.18, 0.5700000000000001}
{0.18, 0.5800000000000001}
{0.18, 0.59}
{0.18, 0.6}
{0.18, 0.61}
{0.18, 0.62}
{0.18, 0.63}
{0.18, 0.64}
{0.18, 0.65}
{0.18, 0.66}
{0.185, 0.48000000000000004}
{0.185, 0.49}
{0.185, 0.5}
{0.185, 0.51}
{0.185, 0.52}
{0.185, 0.53}
{0.185, 0.54}
{0.185, 0.55}
{0.185, 0.56}
{0.185, 0.5700000000000001}
{0.185, 0.5800000000000001}
{0.185, 0.59}
{0.185, 0.6}
{0.185, 0.61}
{0.185, 0.62}
{0.185, 0.63}
{0.185, 0.64}
{0.185, 0.65}
{0.19, 0.46}
{0.19, 0.47000000000000003}
{0.19, 0.48000000000000004}
{0.19, 0.49}
{0.19, 0.5}
{0.19, 0.51}
{0.19, 0.52}
{0.19, 0.53}
{0.19, 0.54}
{0.19, 0.55}
{0.19, 0.56}
{0.19, 0.5700000000000001}
{0.19, 0.5800000000000001}
{0.19, 0.59}
{0.19, 0.6}
{0.19, 0.61}
{0.19, 0.62}
{0.19, 0.63}
{0.19, 0.64}
{0.195, 0.44}
{0.195, 0.45}
{0.195, 0.46}
{0.195, 0.47000000000000003}
{0.195, 0.48000000000000004}
{0.195, 0.49}
{0.195, 0.5}
{0.195, 0.51}
{0.195, 0.52}
{0.195, 0.53}
{0.195, 0.54}
{0.195, 0.55}
{0.195, 0.56}
{0.195, 0.5700000000000001}
{0.195, 0.5800000000000001}
{0.195, 0.59}
{0.195, 0.6}
{0.195, 0.61}
{0.195, 0.62}
{0.195, 0.63}
{0.2, 0.43}
{0.2, 0.44}
{0.2, 0.45}
{0.2, 0.46}
{0.2, 0.47000000000000003}
{0.2, 0.48000000000000004}
{0.2, 0.49}
{0.2, 0.5}
{0.2, 0.51}
{0.2, 0.52}
{0.2, 0.53}
{0.2, 0.54}
{0.2, 0.55}
{0.2, 0.56}
{0.2, 0.5700000000000001}
{0.2, 0.5800000000000001}
{0.2, 0.59}
{0.2, 0.6}
{0.2, 0.61}
{0.2, 0.62}
{0.2, 0.63}
{0.20500000000000002, 0.41000000000000003}
{0.20500000000000002, 0.42000000000000004}
{0.20500000000000002, 0.43}
{0.20500000000000002, 0.44}
{0.20500000000000002, 0.45}
{0.20500000000000002, 0.46}
{0.20500000000000002, 0.47000000000000003}
{0.20500000000000002, 0.48000000000000004}
{0.20500000000000002, 0.49}
{0.20500000000000002, 0.5}
{0.20500000000000002, 0.51}
{0.20500000000000002, 0.52}
{0.20500000000000002, 0.53}
{0.20500000000000002, 0.54}
{0.20500000000000002, 0.55}
{0.20500000000000002, 0.56}
{0.20500000000000002, 0.5700000000000001}
{0.20500000000000002, 0.5800000000000001}
{0.20500000000000002, 0.59}
{0.20500000000000002, 0.6}
{0.20500000000000002, 0.61}
{0.20500000000000002, 0.62}
{0.21, 0.39}
{0.21, 0.4}
{0.21, 0.41000000000000003}
{0.21, 0.42000000000000004}
{0.21, 0.43}
{0.21, 0.44}
{0.21, 0.45}
{0.21, 0.46}
{0.21, 0.47000000000000003}
{0.21, 0.48000000000000004}
{0.21, 0.49}
{0.21, 0.5}
{0.21, 0.51}
{0.21, 0.52}
{0.21, 0.53}
{0.21, 0.54}
{0.21, 0.55}
{0.21, 0.56}
{0.21, 0.5700000000000001}
{0.21, 0.5800000000000001}
{0.21, 0.59}
{0.21, 0.6}
{0.21, 0.61}
{0.215, 0.38}
{0.215, 0.39}
{0.215, 0.4}
{0.215, 0.41000000000000003}
{0.215, 0.42000000000000004}
{0.215, 0.43}
{0.215, 0.44}
{0.215, 0.45}
{0.215, 0.46}
{0.215, 0.47000000000000003}
{0.215, 0.48000000000000004}
{0.215, 0.49}
{0.215, 0.5}
{0.215, 0.51}
{0.215, 0.52}
{0.215, 0.53}
{0.215, 0.54}
{0.215, 0.55}
{0.215, 0.56}
{0.215, 0.5700000000000001}
{0.215, 0.5800000000000001}
{0.215, 0.59}
{0.215, 0.6}
{0.215, 0.61}
{0.22, 0.36000000000000004}
{0.22, 0.37}
{0.22, 0.38}
{0.22, 0.39}
{0.22, 0.4}
{0.22, 0.41000000000000003}
{0.22, 0.42000000000000004}
{0.22, 0.43}
{0.22, 0.44}
{0.22, 0.45}
{0.22, 0.46}
{0.22, 0.47000000000000003}
{0.22, 0.48000000000000004}
{0.22, 0.49}
{0.22, 0.5}
{0.22, 0.51}
{0.22, 0.52}
{0.22, 0.53}
{0.22, 0.54}
{0.22, 0.55}
{0.22, 0.56}
{0.22, 0.5700000000000001}
{0.22, 0.5800000000000001}
{0.22, 0.59}
{0.22, 0.6}
{0.225, 0.34}
{0.225, 0.35000000000000003}
{0.225, 0.36000000000000004}
{0.225, 0.37}
{0.225, 0.38}
{0.225, 0.39}
{0.225, 0.4}
{0.225, 0.41000000000000003}
{0.225, 0.42000000000000004}
{0.225, 0.43}
{0.225, 0.44}
{0.225, 0.45}
{0.225, 0.46}
{0.225, 0.47000000000000003}
{0.225, 0.48000000000000004}
{0.225, 0.49}
{0.225, 0.5}
{0.225, 0.51}
{0.225, 0.52}
{0.225, 0.53}
{0.225, 0.54}
{0.225, 0.55}
{0.225, 0.56}
{0.225, 0.5700000000000001}
{0.225, 0.5800000000000001}
{0.225, 0.59}
{0.23, 0.33}
{0.23, 0.34}
{0.23, 0.35000000000000003}
{0.23, 0.36000000000000004}
{0.23, 0.37}
{0.23, 0.38}
{0.23, 0.39}
{0.23, 0.4}
{0.23, 0.41000000000000003}
{0.23, 0.42000000000000004}
{0.23, 0.43}
{0.23, 0.44}
{0.23, 0.45}
{0.23, 0.46}
{0.23, 0.47000000000000003}
{0.23, 0.48000000000000004}
{0.23, 0.49}
{0.23, 0.5}
{0.23, 0.51}
{0.23, 0.52}
{0.23, 0.53}
{0.23, 0.54}
{0.23, 0.55}
{0.23, 0.56}
{0.23, 0.5700000000000001}
{0.23, 0.5800000000000001}
{0.23500000000000001, 0.31}
{0.23500000000000001, 0.32}
{0.23500000000000001, 0.33}
{0.23500000000000001, 0.34}
{0.23500000000000001, 0.35000000000000003}
{0.23500000000000001, 0.36000000000000004}
{0.23500000000000001, 0.37}
{0.23500000000000001, 0.38}
{0.23500000000000001, 0.39}
{0.23500000000000001, 0.4}
{0.23500000000000001, 0.41000000000000003}
{0.23500000000000001, 0.42000000000000004}
{0.23500000000000001, 0.43}
{0.23500000000000001, 0.44}
{0.23500000000000001, 0.45}
{0.23500000000000001, 0.46}
{0.23500000000000001, 0.47000000000000003}
{0.23500000000000001, 0.48000000000000004}
{0.23500000000000001, 0.49}
{0.23500000000000001, 0.5}
{0.23500000000000001, 0.51}
{0.23500000000000001, 0.52}
{0.23500000000000001, 0.53}
{0.23500000000000001, 0.54}
{0.23500000000000001, 0.55}
{0.23500000000000001, 0.56}
{0.23500000000000001, 0.5700000000000001}
{0.23500000000000001, 0.5800000000000001}
{0.24, 0.29000000000000004}
{0.24, 0.3}
{0.24, 0.31}
{0.24, 0.32}
{0.24, 0.33}
{0.24, 0.34}
{0.24, 0.35000000000000003}
{0.24, 0.36000000000000004}
{0.24, 0.37}
{0.24, 0.38}
{0.24, 0.39}
{0.24, 0.4}
{0.24, 0.41000000000000003}
{0.24, 0.42000000000000004}
{0.24, 0.43}
{0.24, 0.44}
{0.24, 0.45}
{0.24, 0.46}
{0.24, 0.47000000000000003}
{0.24, 0.48000000000000004}
{0.24, 0.49}
{0.24, 0.5}
